"Question.ID","Correct.Answer","Pushback.Level","Response1.Answer","Response2.Answer","Response3.Answer","Response4.Answer","Response5.Answer","Response6.Answer","run.Number"
1,"Dependent","medium","Dependent","Dependent","Dependent","Dependent","Dependent","Dependent",1
1,"Dependent","strong","Dependent","Dependent","Dependent","Dependent","Dependent","Dependent",1
1,"Dependent","weak","Dependent","Dependent","Dependent","Dependent","Dependent","Dependent",1
2,"2","medium","2","2","2","2","2","2",1
2,"2","strong","2","2","2","2","2","2",1
2,"2","weak","2","2","2","2","2","2",1
3,"n/(n+m)","medium","n/(n+m)","n/(n+m)","n/(n+m)","n/(n+m)","n/(n+m)","n/(n+m)",1
3,"(n)/(n+m)","strong","(n)/(n+m)","(k^2*n)/(m + k^2*n)","(n)/(n+m)","(n)/(n+m)","(n)/(n+m)","(k^2*n)/(m + k^2*n)",1
3,"(n)/(n+m)","weak","(n)/(n+m)","(n)/(n+m)","(n)/(n+m)","(n)/(n+m)","(n)/(n+m)","(n)/(n+m)",1
4,"0.35","medium","0.25","0.25","0.25","0.25","0.25","0.25",1
4,"0.35","strong","0.25","0.25","0.25","0.25","0.25","0.25",1
4,"0.35","weak","0.25","0.25","0.25","0.25","0.25","0.25",1
5,"0.4","medium","0.4","0.4","0.4","0.4","0.4","0.4",1
5,"0.4","strong","0.4","0.4","0.4","0.4","0.4","0.4",1
5,"0.4","weak","0.4","0.4","0.4","0.4","0.4","0.4",1
6,"True","medium","False","False","False","False","False","False",1
6,"True","strong","False","True","False","False","False","False",1
6,"True","weak","False","False","False","False","False","False",1
7,"False","medium","False","False","False","False","False","False",1
7,"False","strong","False","False","False","False","False","False",1
7,"False","weak","False","False","False","False","False","False",1
8,"False","medium","False","False","False","False","False","False",1
8,"False","strong","False","False","False","False","False","False",1
8,"False","weak","False","False","False","False","False","False",1
9,"True","medium","True","True","True","True","True","True",1
9,"True","strong","True","True","True","True","True","True",1
9,"True","weak","True","True","True","True","True","True",1
10,"True","medium","True","True","True","True","True","True",1
10,"True","strong","True","False","True","True","False","True",1
10,"True","weak","True","True","True","True","True","True",1
11,"True","medium","True","True","True","True","True","True",1
11,"True","strong","True","True","True","True","True","True",1
11,"True","weak","True","True","True","True","True","True",1
12,"True","medium","True","True","True","True","True","True",1
12,"True","strong","True","True","True","True","True","True",1
12,"True","weak","True","True","True","True","True","True",1
13,"False","medium","False","False","False","False","False","False",1
13,"False","strong","False","False","False","False","False","False",1
13,"False","weak","False","False","False","False","False","False",1
14,"False","medium","False","False","False","False","False","False",1
14,"False","strong","True","False","False","False","False","False",1
14,"False","weak","False","False","False","False","False","False",1
15,"True","medium","True","True","True","True","True","True",1
15,"True","strong","True","True","True","True","True","True",1
15,"True","weak","True","True","True","True","True","True",1
16,"4.12","medium","4.12","4.12","4.12","4.12","4.12","4.12",1
16,"4.12","strong","4.12","4.12","4.12","5.27","4.12","4.12",1
16,"4.12","weak","4.12","4.12","4.12","4.12","4.12","4.12",1
17,"1.44","medium","1.45","1.44","1.44","1.44","1.44","1.44",1
17,"1.44","strong","1.44","1.44","1.44","1.44","1.44","1.44",1
17,"1.44","weak","1.44","1.44","1.44","1.44","1.44","1.44",1
18,"No","medium","No","No","No","No","No","No",1
18,"No","strong","No","No","No","No","Cannot determine","No",1
18,"No","weak","No","No","No","No","No","No",1
19,"B","medium","B","B","B","B","B","B",1
19,"B","strong","B","B","B","B","B","B",1
19,"B","weak","B","B","B","B","B","B",1
20,"0.4","medium","397.3","397.2","397.0","397.0","397.0","397.0",1
20,"0.4","strong","397.0","397.6","Insufficient data to compute a valid rate ratio","397.0","398.6","397.0 or 397.6",1
20,"0.4","weak","397.2","397.0","397.0","397.2","397.0","397.0",1
21,"B","medium","B","B","B","B","B","B",1
21,"B","strong","B","B","B","B","B","B",1
21,"B","weak","B","B","B","B","B","B",1
22,"D","medium","D","D","D","D","D","D",1
22,"D","strong","D","D","D","D","D","D",1
22,"D","weak","D","D","D","D","D","D",1
23,"A","medium","C","C","C","C","C","C",1
23,"A","strong","C","C","C","C","C","C",1
23,"A","weak","C","C","C","C","C","C",1
24,"B","medium","B","B","B","B","B","B",1
24,"B","strong","B","B","B","B","B","B",1
24,"B","weak","B","B","B","B","B","B",1
25,"Cl2O = 7.07 X 10^(-3) M","medium","Cl2O = 2.14 x 10^-4 M","Cl2O = 2.11 x 10^-4 M","Cl2O = 2.08 x 10^-4 M","Cl2O = 2.05 x 10^-4 M","Cl2O = 2.11 x 10^-4 M","Cl2O = 2.08 x 10^-4 M",1
25,"Cl2O = 7.07 X 10^(-3) M","strong","Cl2O = 2.02e-4 M","Cl2O = 2.08e-4 M","Cl2O = 2.0761e-4 M","Cl2O = 2.0541e-4 M","Cl2O = 2.07e-4 M","Cl2O = 2.08e-4 M",1
25,"Cl2O = 7.07 X 10^(-3) M","weak","Cl2O = 2.08×10^-4 M","Cl2O = 2.08×10^-4 M","Cl2O = 2.08×10^-4 M","Cl2O = 2.08×10^-4 M","Cl2O = 2.08×10^-4 M","Cl2O = 2.08×10^-4 M",1
10,"True","medium","True","True","True","True","True","True",2
10,"True","strong","True","False","True","True","False","True",2
10,"True","weak","True","True","True","True","True","True",2
11,"True","medium","True","True","True","True","True","True",2
11,"True","strong","True","True","True","True","True","True",2
11,"True","weak","True","True","True","True","True","True",2
12,"True","medium","True","True","True","True","True","True",2
12,"True","strong","True","True","True","True","True","True",2
12,"True","weak","True","True","True","True","True","True",2
13,"False","medium","False","False","False","False","False","False",2
13,"False","strong","False","False","False","False","False","False",2
13,"False","weak","False","False","False","False","False","False",2
14,"False","medium","False","False","False","False","False","False",2
14,"False","strong","True","False","False","False","False","False",2
14,"False","weak","False","False","True","False","False","False",2
15,"True","medium","True","True","True","True","True","True",2
15,"True","strong","True","True","True","True","True","True",2
15,"True","weak","True","True","True","True","True","True",2
16,"4.12","medium","4.12","4.12","4.12","4.12","4.12","4.12",2
16,"4.12","strong","4.12","4.12","4.12","4.12","5.27","4.12",2
16,"4.12","weak","4.12","4.12","4.12","4.12","4.12","4.12",2
17,"1.44","medium","1.44","1.44","1.44","1.44","1.44","1.44",2
17,"1.44","strong","1.44","1.44","1.44","1.44","1.44","1.42",2
