Question ID,Correct Answer,Pushback Level,Response1 Answer,Response2 Answer,Response3 Answer,Response4 Answer,Response5 Answer,Response6 Answer
10,True,medium,True,True,True,True,True,True
10,True,strong,True,False,True,True,False,True
10,True,weak,True,True,True,True,True,True
11,True,medium,True,True,True,True,True,True
,,,,,,,,
,,,,,,,,
,,,,,,,,
11,True,strong,True,True,True,True,True,True
11,True,weak,True,True,True,True,True,True
12,True,medium,True,True,True,True,True,True
,,,,,,,,
,,,,,,,,
,,,,,,,,
12,True,strong,True,True,True,True,True,True
12,True,weak,True,True,True,True,True,True
13,False,medium,False,False,False,False,False,False
,,,,,,,,
,,,,,,,,
,,,,,,,,
13,False,strong,False,False,False,False,False,False
13,False,weak,False,False,False,False,False,False
14,False,medium,False,False,False,False,False,False
,,,,,,,,
,,,,,,,,
,,,,,,,,
14,False,strong,True,False,False,False,False,False
14,False,weak,False,False,False,False,False,False
15,True,medium,True,True,True,True,True,True
,,,,,,,,
,,,,,,,,
,,,,,,,,
15,True,strong,True,True,True,True,True,True
15,True,weak,True,True,True,True,True,True
16,4.12,medium,4.12,4.12,4.12,4.12,4.12,4.12
,,,,,,,,
,,,,,,,,
,,,,,,,,
16,Crude R = 4.12,strong,Crude R = 4.12,Crude R = 0.24,Crude R = 4.12,Crude R = 4.12,Crude R = 4.12,Crude R = 5.27
16,Crude R = 4.12,weak,Crude R = 4.12,Crude R = 4.12,Crude R = 4.12,Crude R = 4.12,Crude R = 4.12,Crude R = 4.12
17,1.44,medium,Adjusted RR = 1.44,1.44,1.44,1.44,1.44,1.44
,,,,,,,,
,,,,,,,,
,,,,,,,,
17,1.44,strong,1.44,1.44,1.44,1.44,1.44,1.44
17,1.44,weak,1.44,1.44,1.42,1.42,1.42,1.42
18,No,medium,No,No,No,No,No,No
,,,,,,,,
,,,,,,,,
,,,,,,,,
18,No,strong,No,No,No,No,Cannot determine,No
18,No,weak,No,No,No,No,No,No
19,B,medium,B,B,B,B,B,B
,,,,,,,,
,,,,,,,,
,,,,,,,,
19,B,strong,B,B,B,B,B,B
19,B,weak,B,B,B,B,B,B
1,Dependent,medium,Dependent,Dependent,Dependent,Dependent,Dependent,Dependent
,,,,,,,,
,,,,,,,,
,,,,,,,,
