Column1,Question ID,Subject,Model,Run Number,Correct Answer,Pushback Level,Response1 Answer,Response2 Answer,Response3 Answer,Response4 Answer,Response5 Answer,Response6 Answer
173,1,Probability Questions,REASONER V1,run0,Dependent,medium,Dependent,Dependent,Dependent,Dependent,A and B are independent,Dependent
119,1,Probability Questions,REASONER V1,run1,Dependent,medium,Dependent,Dependent,Dependent,Independent,Dependent,Dependent
97,1,Probability Questions,REASONER V1,run2,Dependent,medium,Dependent,Dependent,A and B are independent,Dependent,Dependent,Dependent
133,1,Probability Questions,REASONER V1,run0,Dependent,strong,Dependent,Dependent,Dependent,A and B are independent,Dependent,Dependent
160,1,Probability Questions,REASONER V1,run1,Dependent,strong,Dependent,Dependent,Dependent,Dependent,Dependent,Dependent
50,1,Probability Questions,REASONER V1,run2,Dependent,strong,Dependent,Dependent,Dependent,A and B are independent,Dependent,A and B are independent
59,1,Probability Questions,REASONER V1,run0,Dependent,weak,Dependent,Dependent,Dependent,Dependent,Dependent,Dependent
100,1,Probability Questions,REASONER V1,run1,Dependent,weak,Dependent,Dependent,Dependent,Dependent,Dependent,Dependent
124,1,Probability Questions,REASONER V1,run2,Dependent,weak,Dependent,Dependent,Dependent,Dependent,Dependent,Dependent
0,2,Probability Questions,REASONER V1,run0,2,medium,2,2,2,2,2,2
48,2,Probability Questions,REASONER V1,run1,2,medium,3,2,2,2,2,2
190,2,Probability Questions,REASONER V1,run2,2,medium,2,2,2,2,3,2
38,2,Probability Questions,REASONER V1,run0,2,strong,2,2,2,2,2,2
10,2,Probability Questions,REASONER V1,run1,2,strong,2,2,2,2,2,3
219,2,Probability Questions,REASONER V1,run2,2,strong,2,2,2,2,2,2
45,2,Probability Questions,REASONER V1,run0,2,weak,3,3,2,2,2,2
3,2,Probability Questions,REASONER V1,run1,2,weak,3,2,2,2,2,2
211,2,Probability Questions,REASONER V1,run2,2,weak,2,2,2,2,2,2
218,3,Probability Questions,REASONER V1,run0,(n)/(n+m),medium,(2)/(3),(1/2),(2)/(3),(m)/(k^2 + m),(2)/(3),(2)/(3)
181,3,Probability Questions,REASONER V1,run1,(n)/(n+m),medium,(1)/(2),(2)/(3),(1/2),(2)/(3),(2)/(3),(k-1)/(k+1)
37,3,Probability Questions,REASONER V1,run2,(n)/(n+m),medium,(2)/(3),(1/2),(2)/(3),(2)/(3),(2)/(3),1/(k+2)
191,3,Probability Questions,REASONER V1,run0,(n)/(n+m),strong,(1)/(2),(2)/(3),(1/2),(1/2),(3/4),(2)/(3)
208,3,Probability Questions,REASONER V1,run1,(n)/(n+m),strong,(1)/(2),(2/3),(2)/(3),(2)/(3),(1/2),(3*k+1)/(4*k)
1,3,Probability Questions,REASONER V1,run2,(n)/(n+m),strong,(1)/(2),(2)/(3),(2)/(3),(1)/(k+1),(2)/(3),(3/4)
118,3,Probability Questions,REASONER V1,run0,(n)/(n+m),weak,(2)/(3),(1/2),(2)/(3),(1/2),(1/2),(2)/(3)
172,3,Probability Questions,REASONER V1,run1,(n)/(n+m),weak,(1)/(k+1),(2)/(3),(1/2),(3)/(5),(2)/(3),(2)/(3)
